,Month,3_days_SR(%),4_days_SR(%)
0,Aug/17,74.19354838709677,90.3225806451613
1,Sep/17,43.333333333333336,66.66666666666667
2,Oct/17,64.51612903225806,80.64516129032258
3,Nov/17,33.333333333333336,60.0
4,Dec/17,54.83870967741935,83.87096774193549
5,Jan/18,51.61290322580645,58.064516129032256
6,Feb/18,17.857142857142858,17.857142857142858
7,Mar/18,6.451612903225806,12.903225806451612
8,Apr/18,26.666666666666668,40.0
9,May/18,77.41935483870968,90.3225806451613
10,Jun/18,80.0,93.33333333333333
11,Jul/18,83.87096774193549,90.3225806451613
12,Aug/18,67.74193548387096,83.87096774193549
13,Sep/18,86.66666666666667,96.66666666666667
14,Oct/18,80.64516129032258,90.3225806451613
15,Nov/18,33.333333333333336,53.333333333333336
16,Dec/18,54.83870967741935,64.51612903225806
17,Jan/19,90.3225806451613,93.54838709677419
18,Feb/19,82.14285714285714,92.85714285714286
19,Mar/19,87.09677419354838,93.54838709677419
20,Apr/19,70.0,83.33333333333333
21,May/19,83.87096774193549,93.54838709677419
22,Jun/19,86.66666666666667,96.66666666666667
23,Jul/19,80.64516129032258,96.7741935483871
24,Aug/19,70.96774193548387,87.09677419354838
25,Sep/19,43.333333333333336,53.333333333333336
26,Oct/19,29.032258064516128,38.70967741935484
27,Nov/19,83.33333333333333,96.66666666666667
28,Dec/19,9.67741935483871,9.67741935483871
29,Jan/20,74.19354838709677,80.64516129032258
30,Feb/20,93.10344827586206,100.0
31,Mar/20,64.51612903225806,74.19354838709677
32,Apr/20,50.0,56.666666666666664
33,May/20,54.83870967741935,64.51612903225806
34,Jun/20,90.0,96.66666666666667
35,Jul/20,90.3225806451613,100.0
36,Aug/20,38.70967741935484,45.16129032258065
