,Month,6_days_SR(%),7_days_SR(%)
0,20-Sep,30,40
1,20-Oct,70.96774194,83.87096774
2,20-Nov,60,96.66666667
3,20-Dec,74.19354839,96.77419355
4,21-Jan,83.87096774,96.77419355
5,21-Feb,53.57142857,67.85714286
6,21-Mar,67.74193548,87.09677419
